date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
10:53:46	707/707	---M--	404	error ('Not%20Found')	text/html	date:Fri,%2029%20Jan%202021%2005:23:46%20GMT	http://demo.auburnforest.com/robots.txt		(from )
10:53:47	30875/30875	---M-Z	200	added ('OK')	text/html	etag:%2205e93dc3d-0;gz%22	http://demo.auburnforest.com/html/bootcamp/bootcamp/	C:/My%20Web%20Sites/bootcamp/demo.auburnforest.com/html/bootcamp/bootcamp/index.html	(from )
10:53:48	140930/140930	---M-Z	200	added ('OK')	text/css	etag:%2205e93dc52-0;gz%22	http://demo.auburnforest.com/html/bootcamp/bootcamp/css/bootstrap.css	C:/My%20Web%20Sites/bootcamp/demo.auburnforest.com/html/bootcamp/bootcamp/css/bootstrap.css	(from http://demo.auburnforest.com/html/bootcamp/bootcamp/)
10:53:48	209797/209797	---M-Z	200	added ('OK')	text/css	etag:%2205e93dc52-0;gz%22	http://demo.auburnforest.com/html/bootcamp/bootcamp/css/main.css	C:/My%20Web%20Sites/bootcamp/demo.auburnforest.com/html/bootcamp/bootcamp/css/main.css	(from http://demo.auburnforest.com/html/bootcamp/bootcamp/)
10:53:49	23585/23585	---M-Z	200	added ('OK')	text/css	etag:%2205e93dc53-0;gz%22	http://demo.auburnforest.com/html/bootcamp/bootcamp/css/responsive.css	C:/My%20Web%20Sites/bootcamp/demo.auburnforest.com/html/bootcamp/bootcamp/css/responsive.css	(from http://demo.auburnforest.com/html/bootcamp/bootcamp/)
10:53:49	1729/1729	---M--	200	added ('OK')	image/png	etag:%2205e93dc54-0;;;%22	http://demo.auburnforest.com/html/bootcamp/bootcamp/images/favicon.png	C:/My%20Web%20Sites/bootcamp/demo.auburnforest.com/html/bootcamp/bootcamp/images/favicon.png	(from http://demo.auburnforest.com/html/bootcamp/bootcamp/)
10:53:50	13968/13968	---M-Z	200	added ('OK')	text/html	etag:%2205e93dc3f-0;gz%22	http://demo.auburnforest.com/html/bootcamp/bootcamp/login.html	C:/My%20Web%20Sites/bootcamp/demo.auburnforest.com/html/bootcamp/bootcamp/login.html	(from http://demo.auburnforest.com/html/bootcamp/bootcamp/)
10:53:50	16135/16135	---M-Z	200	added ('OK')	text/html	etag:%2205e93dc3f-0;gz%22	http://demo.auburnforest.com/html/bootcamp/bootcamp/register.html	C:/My%20Web%20Sites/bootcamp/demo.auburnforest.com/html/bootcamp/bootcamp/register.html	(from http://demo.auburnforest.com/html/bootcamp/bootcamp/)
10:53:50	30875/30875	---M-Z	200	added ('OK')	text/html	etag:%2205e93dc3d-0;gz%22	http://demo.auburnforest.com/html/bootcamp/bootcamp/index.html	C:/My%20Web%20Sites/bootcamp/demo.auburnforest.com/html/bootcamp/bootcamp/index-2.html	(from http://demo.auburnforest.com/html/bootcamp/bootcamp/)
10:53:51	3538/3538	---M--	200	added ('OK')	image/png	etag:%2205e93dc55-0;;;%22	http://demo.auburnforest.com/html/bootcamp/bootcamp/images/logo.png	C:/My%20Web%20Sites/bootcamp/demo.auburnforest.com/html/bootcamp/bootcamp/images/logo.png	(from http://demo.auburnforest.com/html/bootcamp/bootcamp/)
10:53:51	30927/30927	---M-Z	200	added ('OK')	text/html	etag:%2205e93dc3d-0;gz%22	http://demo.auburnforest.com/html/bootcamp/bootcamp/index-2.html	C:/My%20Web%20Sites/bootcamp/demo.auburnforest.com/html/bootcamp/bootcamp/index-3.html	(from http://demo.auburnforest.com/html/bootcamp/bootcamp/)
10:53:52	58160/58160	---M-Z	200	added ('OK')	text/html	etag:%2205e93dc3d-0;gz%22	http://demo.auburnforest.com/html/bootcamp/bootcamp/index-3.html	C:/My%20Web%20Sites/bootcamp/demo.auburnforest.com/html/bootcamp/bootcamp/index-4.html	(from http://demo.auburnforest.com/html/bootcamp/bootcamp/)
10:53:52	17157/17157	---M-Z	200	added ('OK')	text/html	etag:%2205e93dc3e-0;gz%22	http://demo.auburnforest.com/html/bootcamp/bootcamp/price.html	C:/My%20Web%20Sites/bootcamp/demo.auburnforest.com/html/bootcamp/bootcamp/price.html	(from http://demo.auburnforest.com/html/bootcamp/bootcamp/)
10:53:53	20840/20840	---M-Z	200	added ('OK')	text/html	etag:%2205e93dc40-0;gz%22	http://demo.auburnforest.com/html/bootcamp/bootcamp/privacy.html	C:/My%20Web%20Sites/bootcamp/demo.auburnforest.com/html/bootcamp/bootcamp/privacy.html	(from http://demo.auburnforest.com/html/bootcamp/bootcamp/)
10:53:53	3223/3223	---M-Z	200	added ('OK')	text/html	etag:%2205e93dc40-0;gz%22	http://demo.auburnforest.com/html/bootcamp/bootcamp/comming-soon.html	C:/My%20Web%20Sites/bootcamp/demo.auburnforest.com/html/bootcamp/bootcamp/comming-soon.html	(from http://demo.auburnforest.com/html/bootcamp/bootcamp/)
10:53:53	27534/27534	---M-Z	200	added ('OK')	text/html	etag:%2205e93dc3f-0;gz%22	http://demo.auburnforest.com/html/bootcamp/bootcamp/course.html	C:/My%20Web%20Sites/bootcamp/demo.auburnforest.com/html/bootcamp/bootcamp/course.html	(from http://demo.auburnforest.com/html/bootcamp/bootcamp/)
